Input;;;;;;;output;;;;;;;
File di input;Perc. Q.tà hub per gravità;Perc. Q.tà disponibile;Perc. Rimanenza;Q.tà disponibile;Spreco;Rimanenza;File di output;Num. Mezzi ;Funzione obiettivo;Efficacia Ae norm;Costi Kv norm;Efficacia Ae non norm;Costi Kv non norm;Tempo di esecuzione
I_25_25_25_25_3_20_2_.txt;25%25%25%25%;20%;2%;127588;965;2551;O_25_25_25_25_3_20_2_.txt;4;202.531;4.09E-05;0.269273;7.98469;506.14;3.53131
I_25_25_25_25_3_20_5_.txt;25%25%25%25%;20%;5%;127588;965;6379;O_25_25_25_25_3_20_5_.txt;4;226.026;4.09E-05;0.287918;7.98469;564.877;3.55198
I_25_25_25_25_3_20_10_.txt;25%25%25%25%;20%;10%;127588;965;12758;O_25_25_25_25_3_20_10_.txt;4;241.183;4.09E-05;0.313424;7.98469;602.77;3.60177
I_50_16_16_16_1_5_2_.txt;50%16%16%16%;5%;2%;151511;1146;3030;O_50_16_16_16_1_5_2_.txt;4;245.712;6.00E-05;0.317571;9.54471;614.124;4.13664
I_50_16_16_16_1_5_5_.txt;50%16%16%16%;5%;5%;151511;1146;7575;O_50_16_16_16_1_5_5_.txt;4;225.335;6.00E-05;0.286495;9.54471;563.179;4.19384
I_50_16_16_16_1_5_10_.txt;50%16%16%16%;5%;10%;151511;1146;15151;O_50_16_16_16_1_5_10_.txt;4;235.153;6.00E-05;0.304752;9.54471;587.724;4.1851
I_50_16_16_16_1_10_2_.txt;50%16%16%16%;10%;2%;143537;1505;2870;O_50_16_16_16_1_10_2_.txt;4;240.421;5.35E-05;0.314597;8.49956;600.877;4.02889
I_50_16_16_16_1_10_5_.txt;50%16%16%16%;10%;5%;143537;1505;7176;O_50_16_16_16_1_10_5_.txt;4;218.52;5.35E-05;0.279022;8.49956;546.124;3.95753
I_50_16_16_16_1_10_10_.txt;50%16%16%16%;10%;10%;143537;1505;14353;O_50_16_16_16_1_10_10_.txt;4;224.618;5.35E-05;0.292513;8.49956;561.368;3.98105
I_50_16_16_16_1_20_2_.txt;50%16%16%16%;20%;2%;127588;1338;2551;O_50_16_16_16_1_20_2_.txt;4;235.064;4.27E-05;0.29906;6.79201;587.44;3.58708
