0	54.4	57.5	25	100	59.4	18.8	93.4	40.8	131.8	120	
54.4	0	13.6	42.6	77.5	71.3	55.3	103.2	88.5	88.4	74.7	
57.5	13.6	0	36.4	91.1	57.7	41.7	89.6	78.8	83.6	77.3	
25	42.6	36.4	0	79.3	72.8	43.6	104	65.8	120	108	
100	77.5	91.1	79.3	0	128	99.4	158	132	152	58.4	
59.4	71.3	57.7	72.8	128	0	40.6	40.4	49.5	125	127	
18.8	55.3	41.7	43.6	99.4	40.6	0	81	38.9	113	110	
93.4	103.2	89.6	104	158	40.4	81	0	53.3	155	157	
40.8	88.5	78.8	65.8	132	49.5	38.9	53.3	0	151.9	148.9	
131.8	88.4	83.6	120	152	125	113	155	151.9	0	104	
120	74.7	77.3	108	58.4	127	110	157	148.9	104	0	
